"name","plant_port","rep_bio","group","gen_id","gen_name","gen_group","lat","lon","alt","ara_hem","ara_tot","ara_xyl","cel_hem","fuc_hem","fuc_tot","gal_hem","gal_tot","glu_cel","glu_enz","glu_hem","glu_tot","H_G","hem_tot","lign_G","lign_H","lign_S","lign_tot","man_hem","man_tot","rha_hem","rha_tot","S_G","xyl_enz","xyl_hem","xyl_tot","GluE_perc","XylE_perc","LSR","DW","DW_port","GluE_t","XylE_t"
"M6.03","Stem","3","M6","8","Gawain","Flor_Taiwan",24.6254,121.485,1213,1.339263041,2.279075199,0.093039424,2.431692937,2.100445139,0.260270311,0.810323486,0.73203451,38.60301036,12.87325992,1.161614236,39.7646246,0.056628266,15.8749527,48.35289391,2.627822238,49.01928385,17.39478753,1.399918919,4.483158443,0.561317308,0.138986107,1.029352912,7.624387992,9.663684806,24.49580075,5.11900347889049,1.86765489067381,10.91,0.284,0.0238455079764903,0.0122065238287565,0.00445351795928935
"M6.04","Leaf","1","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,2.739777861,4.792043174,0.186309511,1.772134005,1.824703229,0.3962014,0.969793576,1.282662795,34.59104791,24.54474898,1.557248966,36.14829688,0.058782851,19.51943127,66.47976674,3.907432422,29.61280084,20.10511917,1.563943659,4.608622577,0.558164764,0.276833705,0.456937587,7.275307112,11.86304818,25.72087245,8.87250872741889,1.87127246243005,1.47,3.073,1.82887044534413,1.62266689876343,0.342231490172466
"M6.04","Leaf","2","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,2.091441245,4.335869814,0.178237896,2.161759059,1.349070358,0.049403255,1.058477235,1.423532517,37.08024077,7.023368963,1.248826014,38.32906678,0.098859993,17.15280924,47.53236568,4.690121991,47.77751233,24.92501446,1.613515152,5.110326846,0.489165829,0.437504752,1.005334108,3.929796716,10.55113942,24.32630721,2.69199178006011,0.955974421793909,3.31,2.725,2.0927494199536,0.563366423624064,0.200061491669968
"M6.04","Leaf","3","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,2.109025604,3.306918183,0.134879763,2.103632736,1.691218444,0.044377711,1.059063854,1.393914798,36.74420039,11.28485868,1.474969755,38.21917015,0.094074157,17.46702253,47.17563029,4.366923601,48.45744611,20.8992888,1.711621429,3.890330615,0.412152174,0.345852964,1.036077902,5.106944035,10.48394103,24.51752673,4.3129793409739,1.25209636907765,4.32,4.121,3.34637593984962,1.44328502957035,0.418998516385451
"M6.04","Stem","1","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,1.289291925,2.807868125,0.101765331,2.685326056,NA,0.072269663,0.863525587,0.925900721,39.71148543,7.044767655,0.913358286,40.62484372,0.051371021,14.78832909,63.33974937,3.253981941,33.40626869,26.02320183,1.741241379,5.184907195,NA,0.515388135,0.527425413,4.234319082,10.8942702,27.59159808,2.86192585026283,1.16831630258581,1.47,3.073,1.24412955465587,0.356060653354562,0.145353684123327
"M6.04","Stem","2","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,1.400175745,2.982970076,0.11578605,2.305741854,2.30419208,1.58547391,0.762697398,1.036972554,41.42560156,7.367521406,1.142438871,42.56804043,0.1556253,17.96627905,36.37481206,5.590219156,58.03496878,21.94725334,2.011901577,5.190339365,0.454376018,0.344909566,1.60065445,6.042100834,11.03293623,25.76277598,3.13620949108883,1.55661290231297,3.31,2.725,0.632250580046404,0.198287026988795,0.0984169410395091
"M6.04","Stem","3","M6","9","Geraint","Flor_Taiwan",24.0611,121.116,2309,1.545639791,2.086913522,0.081308902,2.047723129,2.352861307,0.065400356,0.637678769,0.549064448,39.30667624,6.104393677,1.245843913,40.55252015,0.093894751,19.19530804,36.68557549,3.446782135,59.86764238,16.80290594,1.869492992,3.097711303,0.52804611,0.080321247,1.637368821,7.045247101,12.26158908,25.66648275,2.47548547597963,1.80826713167761,4.32,4.121,0.774624060150376,0.191757061024663,0.140072722737658
"M6.05","Leaf","1","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,2.455714141,2.942704255,0.126146195,1.703268169,1.796327421,0.123115089,1.37474348,0.907758704,32.0430125,3.516127203,1.692742306,33.73575481,0.058609167,18.81266443,52.50788488,3.073313224,44.4188019,21.4583415,1.821794227,3.041734264,NA,0.166939764,0.847247091,5.498103286,11.36408516,23.327729,1.18619205187039,1.28258263454318,1.51,0.86,0.517370517928287,0.0613700796238603,0.0663570441919429
"M6.05","Leaf","2","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,2.185453417,4.557557066,0.162511375,2.256087366,2.049957531,1.116017938,1.172608722,1.31870122,42.17536521,23.37458914,1.505917738,43.68128295,0.078935362,18.69403014,52.45343499,4.054416835,43.49214817,19.75740605,2.616025497,4.615099661,0.621406938,0.189833994,0.833575349,8.465345571,10.04857803,28.04454189,10.2103204217931,2.37406738437002,3.02,0.833,0.625786069651741,0.638947628663883,0.14856582975533
"M6.05","Leaf","3","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,1.873892115,3.052424148,0.139538105,2.226467711,1.27599259,0.05480934,0.995718459,1.101448402,35.03426079,13.58312811,1.204179523,36.23844031,0.061188163,15.73535543,50.50605449,3.089062251,46.40488326,22.94095818,1.085528323,3.352228442,0.286934486,0.158528283,0.922400472,7.001479562,10.21728946,21.87520131,4.92231377043365,1.53158774898118,2.75,1.21,0.887333333333333,0.436773308563146,0.135902886259596
"M6.05","Stem","1","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,1.527645861,2.249906009,0.094641745,2.399170503,2.324942308,0.755296245,0.697320584,0.70471487,41.41711926,7.523946792,1.53368415,42.95080341,0.076454959,17.26309956,43.6253292,3.330744676,53.04392612,27.79092838,NA,5.086507273,0.441255908,0.047164462,1.217117445,5.065694315,12.27193489,23.77287126,3.23159559499668,1.20426098784661,1.51,0.86,0.342629482071713,0.110723992497894,0.0412615318545055
"M6.05","Stem","2","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,1.502688389,2.002244171,0.082296547,2.089920182,2.06283305,0.077196213,0.847738885,0.800348704,39.85826442,8.489459245,1.412757675,41.27102209,0.04969636,19.07166827,39.04790051,1.936707782,59.01539171,30.71148143,1.83628436,3.058028079,0.463453411,0.049679869,1.51350226,7.707629316,12.35867018,24.32962546,3.50368659995831,1.87523734417344,3.02,0.833,0.207213930348259,0.0726012671085888,0.0388575300422009
"M6.05","Stem","3","M6","10","Percival","Flor_Taiwan",23.4875,120.89,2623,1.475976115,2.919325663,0.111088236,2.426695303,2.020719709,2.076334998,0.93409569,1.104797397,41.13746658,0.218286361,1.394574357,42.53204094,0.0553057,16.95205267,42.03345876,2.290500443,55.6760408,26.62083511,1.969284551,6.811673509,0.649266299,0.450287895,1.336603941,7.125112609,9.902710307,26.2793413,0.0928416443862252,1.87243266060544,2.75,1.21,0.322666666666667,0.00299569039219553,0.0604171605155355
"M7.10","Leaf","1","M7","30","Kay","Lut",31.1692,118.221,2,1.599645854,3.229758503,0.118592569,2.522272854,1.325497505,2.779779029,0.838737298,1.021442287,40.75908325,22.98807363,1.334054875,42.09313812,0.032096298,16.15966456,76.54262746,2.455856839,21.0015157,21.44345986,1.448937941,6.106018638,0.331255814,0.413931248,0.275098936,7.089696634,10.61559015,27.23407143,9.6764015831033,1.93081304581051,0.04,0.219,0.00842307692307692,0.00815050748730625,0.00162633868089424
"M7.10","Leaf","2","M7","30","Kay","Lut",31.1692,118.221,2,2.375133668,3.713944905,0.138743894,2.41258281,1.416610572,3.207571255,0.544721254,1.528929013,39.27283551,22.81719037,1.173714373,40.44654988,0.04488971,16.27833679,66.38652476,3.000119762,30.61335547,19.09010178,2.252360692,7.018218056,0.577211667,0.630291982,0.487262866,7.782500511,9.112298933,26.76834853,9.22876628396556,2.08324686140429,0.1,0.07,0.00636363636363636,0.00587285127161444,0.00132570254816637
"M7.10","Leaf","3","M7","30","Kay","Lut",31.1692,118.221,2,1.56205026,2.098105106,0.084848818,2.599550418,0.990799782,0.155765627,0.518863904,0.704562063,37.41329336,25.5559252,1.138667909,38.55196127,0.055505217,14.39221686,76.79978424,4.155052859,19.0451629,23.10140253,0.798266534,3.143643608,0.272110765,0.131256991,0.248845124,7.131526131,10.25012561,24.72757016,9.85231038735366,1.76345312753701,0.06,0.217,0.0122830188679245,0.0121016114380514,0.00216605280382376
"M7.10","Stem","1","M7","30","Kay","Lut",31.1692,118.221,2,1.390185061,2.804059599,0.106384326,2.083718314,2.180882353,0.029524038,0.800253893,0.767346834,38.71354155,10.86984706,1.121029214,39.83457076,0.047250641,18.5790667,52.29416589,2.464702885,45.24113122,23.58120397,1.624764706,3.916921769,0.468594059,0.312912407,0.866388852,5.57146648,12.11438663,26.35782649,4.32995691999005,1.46851746761394,0.04,0.219,0.210576923076923,0.0911789005267136,0.030923588981486
"M7.10","Stem","2","M7","30","Kay","Lut",31.1692,118.221,2,1.468803257,2.391151372,0.084547187,2.163461658,1.876617473,1.419809198,0.684133929,0.685919341,40.66368893,7.412281917,1.129676938,41.79336587,0.047965238,18.79565962,53.21829643,2.54907725,44.23262633,22.14526471,1.755854719,4.628307151,0.49653401,0.376493496,0.832603122,5.787209257,12.51371623,28.281856,3.09784210069311,1.63673018819792,0.1,0.07,0.0636363636363636,0.0197135406407743,0.0104155557430777
"M7.10","Stem","3","M7","30","Kay","Lut",31.1692,118.221,2,1.36162851,2.152541699,0.080467415,2.617199356,NA,NA,0.684355337,0.519684454,40.65243558,7.104895077,1.030401283,41.68283686,0.048102297,15.53280054,52.75246383,2.539496923,44.70803924,23.86982251,1.60565312,3.017404777,0.499611111,0.123528618,0.848240472,5.111622691,11.38155246,26.75047644,2.96152182432932,1.36738342362957,0.06,0.217,0.204716981132075,0.0606273807433454,0.0279926606535487
"M8.01","Leaf","1","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,2.237502481,3.856640149,0.152616285,1.995140676,1.803173086,0.058112384,1.05542312,1.172112853,35.15889674,18.10897184,1.642281291,36.80117803,0.03999077,17.62226452,70.77283499,2.832190906,26.3949741,23.35974382,1.166381133,3.40730211,0.477306363,NA,0.373417955,6.149668564,10.88247834,25.27017445,6.66431496584586,1.55403197425347,0.12,4.52,0.484285714285714,0.322743253345964,0.0752595484674183
"M8.01","Leaf","2","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,1.513960348,3.76804777,0.151200156,3.231410343,1.367371518,1.478915732,0.744825539,1.363594,38.81579349,21.69242568,0.985210374,39.80100386,0.038283432,12.01202861,68.32895486,2.616409311,29.05463583,15.72496145,0.789183653,3.867085642,0.458450262,0.29908117,0.425356604,7.311697266,7.138237292,24.9209252,8.63380318091606,1.8221426062948,0.29,5.581,1.25464341085271,1.08323442715355,0.228613921462177
"M8.01","Leaf","3","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,2.809572544,3.721018556,0.135846088,2.013419642,2.407029945,0.108069733,0.886929144,1.227495357,36.5720752,19.25643571,1.658239867,38.23031507,0.043904724,18.16415934,65.11838818,2.852105009,32.02950681,17.8732957,2.207434601,2.399181898,0.489448151,0.169568182,0.496096679,6.500644666,9.363744959,27.39142962,7.36179604184691,1.78061950810129,0.33,4.751,1.17881954887218,0.867822908893898,0.209902908525297
"M8.01","Stem","1","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,1.561800114,2.309868913,0.101490959,2.361824794,1.975020747,0.063534829,0.684067472,0.803682097,42.55858768,5.786154901,1.191944383,43.75053206,0.029832598,18.01936697,51.60509667,1.539065723,46.85583761,25.87102192,1.389057531,4.884917846,0.455189962,0.328117564,0.90812524,4.714543006,11.95423114,22.75935645,2.53147355479409,1.07299964782029,0.12,4.52,4.03571428571428,1.02163039889904,0.433032000727476
"M8.01","Stem","2","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,1.484882879,2.493620863,0.099811319,2.45552697,1.584618253,0.034920619,1.00199782,0.958087225,40.75456408,4.531947717,0.974262124,41.7288262,0.032357609,16.59707451,53.02194274,1.715573433,45.26248382,22.79807155,1.057143211,3.212312244,NA,0.380342934,0.854165619,4.22931815,11.46843235,24.98334748,1.89112858629348,1.0566252496478,0.29,5.581,4.32635658914729,0.818169662023558,0.457133761107318
"M8.01","Stem","3","M8","20","Lamorak","Hyb.gig",29.0442,111.415,36,1.406437849,1.855233842,0.076690269,2.366410783,2.439090644,0.075900373,0.889345274,0.590752985,41.04690747,6.121442263,0.982614431,42.0295219,0.033671288,17.34563913,51.2472681,1.724984054,47.02774785,24.68087052,1.649426704,3.698805801,NA,0.061050508,0.919145272,4.445479662,10.96133866,24.19125492,2.5728129165404,1.07541731718934,0.33,4.751,3.57218045112782,0.919055200487476,0.384158471726808
"M9.01","Leaf","1","M9","48","Galahad","Hyb.mx",NA,NA,NA,1.803825219,2.910630106,0.110841204,2.207367498,1.322171136,0.427439474,0.698744567,0.932685342,35.68757733,15.4064399,1.13641919,36.82399652,0.055276141,16.16748338,70.18873965,3.881075038,25.93018531,27.29556382,1.027676509,2.500178926,0.399455635,0.119343246,0.369686346,4.79220153,10.91561031,26.25945955,5.6732668934713,1.25840622236284,0.32,1.976,0.479030303030303,0.271766675915134,0.060281471403369
"M9.01","Leaf","2","M9","48","Galahad","Hyb.mx",NA,NA,NA,2.073910229,2.469837111,0.100512364,1.938491788,1.757036198,0.231065046,0.914781386,1.021210458,35.74451868,15.25207327,1.441763991,37.18628267,0.060087159,18.43934491,65.96533232,3.862578673,30.17208901,24.71933831,1.917751142,3.593332787,0.415672122,0.169428119,0.475770109,6.102453195,11.36019383,24.57247059,5.67167907789449,1.49952351689083,0.3,0.673,0.155307692307692,0.0880855389097614,0.0232887536969429
"M9.01","Leaf","3","M9","48","Galahad","Hyb.mx",NA,NA,NA,2.12307237,4.164310851,0.150546113,2.086856596,1.417646905,0.114965622,0.723902849,1.104077195,35.76995668,20.53610242,1.422415479,37.19237216,0.054129834,17.14059162,70.28386695,3.805374353,25.91075869,20.66944789,1.730478291,2.874685538,0.421387606,0.183811742,0.368770342,5.767143255,10.7241036,27.6613641,7.6378636381035,1.59527049394372,0.43,0,0,0,0
"M9.01","Stem","1","M9","48","Galahad","Hyb.mx",NA,NA,NA,1.227712407,1.954349352,0.076573549,3.007859808,NA,0.133366905,0.576214878,0.523608179,39.34711632,12.23142322,0.877392424,40.22450874,0.05391648,13.08143292,59.66627076,3.216650252,37.11707899,25.86415668,NA,3.589222836,0.371089286,0.176527723,0.622662182,5.730552401,10.90641635,25.52251228,4.92002990376253,1.46258094019566,0.32,1.976,1.4969696969697,0.736513567411725,0.218943934683836
"M9.01","Stem","2","M9","48","Galahad","Hyb.mx",NA,NA,NA,1.37383883,1.832700014,0.07446493,2.25794255,2.414191747,0.051020429,0.951783927,0.680002923,36.22255454,10.7417931,0.732363176,36.95491772,0.056894595,16.04228351,58.29838715,3.317057509,38.38455534,23.13173571,2.836045083,2.605878769,0.534764706,0.0439155,0.65847258,5.389014283,7.931659214,24.61158567,3.9696208031407,1.32632186732587,0.3,0.673,0.517692307692308,0.20550421542413,0.0686626628238699
"M9.01","Stem","3","M9","48","Galahad","Hyb.mx",NA,NA,NA,1.282505718,2.138150243,0.073451764,2.343477852,1.939140496,0.223527902,0.754368903,0.545749931,42.1647612,8.706557735,0.948246234,43.11300743,0.058729304,17.99238732,59.7449098,3.503912567,36.75117763,27.76159215,1.740362766,2.503665245,0.553607656,NA,0.616375518,4.116672233,11.72240178,29.10958338,3.75365888338678,1.1983461363422,0.43,0,0,0,0
"M9.02","Leaf","1","M9","49","Tristan","Hyb.mx",NA,NA,NA,2.169496472,2.760429873,0.098808459,2.064177272,1.564343455,0.068610519,0.785513443,1.119721284,35.78379462,23.0218201,1.601714053,37.38550867,0.069336512,17.33562088,70.59713009,4.887092786,24.51577713,28.08910727,1.042431993,4.082072724,0.420781076,0.170229385,0.347673926,6.499998563,11.35305444,27.93718158,8.60682454961991,1.81591640112465,0.66,2.548,1.01306024096386,0.871923175217157,0.183963270689355
"M9.02","Leaf","2","M9","49","Tristan","Hyb.mx",NA,NA,NA,2.362715702,4.19760626,0.155412547,1.803580774,1.751020786,0.108187008,0.888002891,1.234324366,36.71029682,24.94897338,1.593631645,38.30392847,0.070463112,20.35411851,66.01694022,4.651328312,29.33173147,24.1596345,1.521303,2.885866979,0.499209784,0.144193998,0.454289007,7.460323637,13.33186635,27.00944254,9.55643691639812,2.01499182599355,0.65,1.77,0.697272727272727,0.666344283170669,0.140499884594278
"M9.02","Leaf","3","M9","49","Tristan","Hyb.mx",NA,NA,NA,2.15415555,3.060300447,0.120118502,1.806401322,1.70376302,0.299174702,0.805938661,1.043840606,31.96303591,25.9445289,1.702699199,33.66573511,0.061983139,17.69431605,69.81408893,4.335224408,25.85068667,22.93704401,1.496356718,4.528362022,0.493606432,0.360336825,0.371245286,6.782306885,11.04049567,25.47734434,8.73441637417887,1.72795167886292,0.53,1.572,0.544549019607843,0.475631787340579,0.0940954392654528
"M9.02","Stem","1","M9","49","Tristan","Hyb.mx",NA,NA,NA,1.395592431,2.463266604,0.091197273,1.996408737,2.046093042,1.107226292,0.662727901,0.77269465,38.50828212,10.1277088,1.102444281,39.6107264,0.069332594,19.28877659,56.61612823,3.9247572,39.45911457,24.52975532,1.647303597,3.684973535,0.441394884,0.752958416,0.697037146,6.060183295,13.09566473,27.01031002,4.01165902446217,1.63687429603557,0.66,2.548,1.53493975903614,0.615765493634313,0.251250343752929
"M9.02","Stem","2","M9","49","Tristan","Hyb.mx",NA,NA,NA,1.374606544,3.302168281,0.111437074,2.263773743,1.86728972,0.063977707,0.778491208,1.111098337,40.38693366,4.521379233,0.98136113,41.36829479,0.072720377,17.84053454,57.3643654,4.171603046,38.46403155,24.24120488,1.313089956,5.053662926,0.344793522,0.517109573,0.670530986,3.38844649,12.16226359,29.63258252,1.8704174900633,1.00408420238857,0.65,1.77,1.07272727272727,0.2006447852977,0.107710850801683
"M9.02","Stem","3","M9","49","Tristan","Hyb.mx",NA,NA,NA,1.375798334,1.675516813,0.064285296,2.183490336,2.199238095,0.051519571,0.844683642,0.469877117,40.3043293,5.202908662,1.120948751,41.42527805,0.102139726,18.4586708,58.60986791,6.068459215,35.32167288,23.09743839,1.652799427,3.350287968,0.318216216,0.055704131,0.607147173,4.698252467,12.06793508,26.06376447,2.15531937984851,1.22454145714984,0.53,1.572,1.02745098039216,0.221448500988357,0.125815632067944
