"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"accession*",1,592,296.5,171.039956345489,296.5,296.5,219.4248,1,592,591,0,-1.20608277000081,7.02969890298771
"geno*",2,591,296,170.751281107932,296,296,219.4248,1,591,590,0,-1.20609306515926,7.02376916856849
"species*",3,591,4.9492385786802,1.43472501195626,5,5.16490486257928,1.4826,1,8,7,-1.04903356644771,0.247973890719742,0.0590167010107681
"pop_dapc8*",4,591,4.72927241962775,1.80333193835718,4,4.87737843551797,2.9652,1,8,7,-0.389496550389051,-0.740022860250895,0.0741791639110555
"pop_dapc5",5,591,2.38409475465313,1.03972820005489,3,2.32558139534884,1.4826,1,5,4,0.106239329434404,-0.684634669997993,0.0427687032732754
"Lat",6,592,33.5783238851351,4.54115577464381,35.09473,33.9874872362869,2.848623162,18.5004,45.2072,26.7068,-0.699030995387583,0.273582304741745,0.186640352636829
"Long",7,592,128.827193006757,9.8425604083181,130.901,129.436150274262,13.6606764,109.305,144.445,35.14,-0.337632011218076,-1.26566499532519,0.404526740904825
"Soil.all",8,592,6769.66722972973,3790.82193727727,4419,6700.04219409283,207.564,0,11928,11928,0.361985745282764,-1.38894154593215,155.801821885829
"TAA",9,592,13.6449324324324,3.13427231420458,14.3,13.8413502109705,2.37216,2.4,24.9,22.5,-0.540775385001982,0.836685375369571,0.128817798598613
"TRD",10,592,8.74070945945946,1.35263664439298,8.4,8.62257383966245,1.33434,5.3,13,7.7,0.691830929174406,-0.11840410209114,0.0555930236325806
"TIA",11,592,28.2077702702703,6.18680494487941,27,26.9873417721519,2.9652,21,51,30,2.08247984161659,4.19183786431621,0.254276116898488
"TSA",12,592,8034.24662162162,1802.35136135233,8332,8301.29746835443,959.9835,2877,13490,10613,-1.32085476691102,2.55170239137157,74.0761846436888
"TMA",13,592,29.2202702702703,3.70824223886823,29.8,29.7542194092827,2.37216,12.1,34.5,22.4,-1.56614533525384,3.00620901693814,0.152407817188222
"TmA",14,592,-2.18530405405405,5.11641499933946,-1.1,-1.85506329113924,3.85476,-26,15.9,41.9,-0.87244329089171,2.69697238549947,0.210283361131337
"TRA",15,592,31.4603040540541,5.84192461061641,32.1,32.2238396624473,2.52042,15.6,51.7,36.1,-1.0889894398621,2.47532221316382,0.240101622474895
"TWeQ",16,592,21.6074324324324,4.12676610345004,21.9,22.1746835443038,2.37216,-4.1,27.6,31.7,-2.2536832331224,7.51937285417039,0.169609042063316
"TDQ",17,592,4.60202702702703,5.1247248397212,5.3,4.77784810126582,4.29954,-16,20.6,36.6,-0.528601738139366,1.23817837986624,0.210624893467194
"TWaQ",18,592,23.7430743243243,3.44491867018842,24.2,24.1029535864979,2.81694,9.2,28.9,19.7,-1.05380741267176,1.38290912227338,0.141585285182074
"TCQ",19,592,3.23040540540541,4.41515094561821,4.4,3.46898734177215,2.52042,-16,20.6,36.6,-0.682080499778558,2.49536336286424,0.181461586064981
"PTA",20,592,1606.76013513514,624.150723069846,1404,1526.12658227848,295.0374,571,3995,3424,1.40594542217441,2.18855123335225,25.6524366996473
"PWM",21,592,258.344594594595,101.964939585832,221,239.888185654008,47.4432,117,714,597,1.83977639083215,3.45310333892938,4.19073320214067
"PDM",22,592,52.3665540540541,28.5974883758147,46,49.2172995780591,20.7564,6,190,184,1.17011045952738,1.81337991563804,1.17534953211517
"PSA",23,592,52.8158783783784,20.036047495131,48,50.457805907173,16.3086,17,110,93,1.04257145535857,0.604581635974911,0.823476479450395
"PWeQ",24,592,676.484797297297,279.981972658658,574,621.272151898734,135.6579,299,1982,1683,2.06837011593669,4.50228058843902,11.5071881922099
"PDQ",25,592,180.692567567568,90.1847891183447,171,172.738396624473,68.1996,21,590,569,0.990769209294608,1.6080429196217,3.70657200035077
"PWaQ",26,592,626.515202702703,262.690323762157,543,575.413502109705,154.9317,299,1982,1683,2.17145321858885,5.85833352193896,10.7965058003538
"PCQ",27,592,201.856418918919,124.586862417291,172,184.675105485232,77.8365,21,732,711,1.59871001819002,3.09576738288346,5.12048850323862
"T_GR",28,592,8.47782094594595,3.73757571586781,8.9,8.17521097046414,3.48411,1,28,27,0.767679645395308,1.40903980062919,0.153613415666441
"T_SA",29,592,36.8725844594595,7.73191841296844,37.6,37.1115400843882,6.52344,14,82,68,1.36182037331316,12.0514485160149,0.317779889254914
"T_SI",30,592,36.6086655405405,6.13802498118682,37.75,36.9916244725738,2.268378,8,50,42,-1.03847436243148,3.67104246116103,0.252271272740525
"T_CL",31,592,26.5530405405405,7.52733288200134,25,25.5085443037975,5.9304,6,50,44,1.17668214125815,1.69040861395925,0.309371475727834
"T_RB",32,592,1.37126537162162,0.0513534403693027,1.38,1.3755276371308,0.029652,1.23,1.66,0.43,0.381669807967192,7.24147251157822,0.00211061339783985
"T_BD",33,592,1.22127032657658,0.158198480072716,1.258,1.23980808720113,0.1067472,0.825,1.47,0.645,-1.0477392754024,0.498237620150741,0.00650191747930031
"T_OC",34,592,2.46975377252252,1.9833564901701,1.575,2.12090133614627,0.7909671,0.4,8.647,8.247,1.73294200148776,2.62539249595544,0.0815154496123681
"T_PH",35,592,6.10941385135135,0.867593356842121,6.115,6.04435232067511,0.652343999999999,4.7,8.3,3.6,0.459486644679709,-0.138495213931376,0.0356578673144251
"T_CE",36,592,45.4921114864865,17.1292100811587,46.3,45.1611392405063,15.27078,8,109,101,0.283953021787852,0.399267557840562,0.704006197670803
"T_CS",37,592,17.6506756756757,6.50793875863745,16.75,17.259388185654,7.78365,6,31.25,25.25,0.466442709220296,-0.755856812977297,0.26747463534132
"T_BS",38,592,64.4529842342342,22.893520013549,59.75,63.8275668073136,30.76395,23,100,77,0.221307143217044,-1.40183462971963,0.940917876520596
"T_TE",39,592,11.8369893018018,6.56502556834239,9.72,11.1597313642757,6.404832,1.5,25.805,24.305,0.801731254901582,-0.451938551009763,0.269820888767317
"T_CA",40,592,1.35922297297297,3.20902639603289,0.045,0.394430379746835,0.066717,0,13.3,13.3,2.63015193308569,5.57220109818726,0.131890172435992
"T_CO",41,592,0.0364864864864865,0.253876516781452,0,0,0,0,1.8,1.8,6.79113520817574,44.1941782991927,0.0104342605648706
"T_ES",42,592,2.05875563063063,3.77301059611805,1.5,1.50672995780591,0.7413,0,28,28,6.57923165953758,42.300650697508,0.155069780273547
"T_EC",43,592,0.179560810810811,0.319429180526655,0.1,0.10168776371308,0,0.1,2.1,2,4.91067734075655,24.8116219914069,0.0131284584485906
"S_GR",44,592,9.78604072822823,4.96851438240966,8.3,9.29606774496015,3.26172,3,26,23,1.02725997406064,0.451529222890826,0.204204683220063
"S_SA",45,592,37.083544481982,7.62056830351632,38.05,37.3649964838256,4.96670999999999,15,79,64,0.80004707009066,8.66303501730317,0.313203427947347
"S_SI",46,592,33.673292042042,5.7857320027165,34,34.0750820440694,2.74281,8,45,37,-1.02038563410665,2.65761193366608,0.237792120516697
"S_CL",47,592,29.2680790165165,8.94410727805929,28.2,28.1091244725738,7.70952,6,57,51,1.06018154253659,1.2109838430683,0.367600544715856
"S_RD",48,592,1.35788771584084,0.055628046566453,1.363,1.36167246835443,0.0400301999999999,1.22,1.66,0.44,0.177538867691996,4.16647883425011,0.00228629863032503
"S_BD",49,592,1.26718581081081,0.1706932942576,1.3045,1.28285349273324,0.120337700000005,0.859,1.58,0.721,-0.859960473464126,0.184637415328865,0.00701545117894121
"S_OC",50,592,1.19394932432432,1.44813744404228,0.6765,0.808832278481013,0.3807811,0.17,6.48,6.31,2.81542351499,7.20357579390332,0.0595180823198797
"S_PH",51,592,6.18508680555556,0.886120049801911,6.05555555555556,6.11782993436475,0.955453333333327,4.7,8.3,3.6,0.503344761990781,-0.548475922292154,0.0364193097046017
"S_CE",52,592,49.3011402027027,20.4606954321422,47.7,48.6408755274262,18.23598,9,137,128,0.560641526770145,1.24800187430237,0.840929402151884
"S_CS",53,592,16.1351867492492,5.8605732192333,16,15.9567100328176,7.04235,4,27.9,23.9,0.157023987920477,-0.838914385438021,0.240868075567713
"S_BS",54,592,61.584154466967,26.5409563500237,49.45,61.0580578996718,24.38877,21,100,79,0.291638319610916,-1.54660888113987,1.0908265865149
"S_TE",55,592,11.2934248310811,8.75585341707037,8.56,9.95478375527426,7.427826,1.8,32.9,31.1,1.08774104113478,0.19972218286062,0.35986335869013
"S_CA",56,592,1.47430320945946,3.99052284465107,0.02,0.302716244725738,0.029652,0,19.2,19.2,3.20912551268207,9.99617862475712,0.164009478619883
"S_CO",57,592,0.0263513513513514,0.144316575536153,0,0,0,0,1,1,6.27187851674568,39.0603845286597,0.00593137471738015
"S_ES",58,592,2.10529279279279,3.77772885929087,1.45,1.49648382559775,0.66717,0.666666666666667,28,27.3333333333333,6.52097833906005,41.7527826354397,0.15526369969541
"S_EC",59,592,0.393412162162162,1.600604955131,0.1,0.10168776371308,0,0.1,11.3,11.2,6.43302657101015,40.7245824581605,0.0657844584248682
